source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
1,2
1,3
1,7
1,10
1,11
1,13
1,14
1,18
1,20
1,22
1,23
1,25
1,26
1,27
1,28
1,30
1,34
1,35
2,4
2,7
2,9
2,26
2,34
3,27
3,34
4,12
4,20
4,24
4,26
4,34
5,30
6,9
6,14
6,17
6,28
6,34
6,38
7,8
7,9
7,10
7,11
7,12
7,14
7,19
7,20
7,26
7,28
7,33
7,34
7,35
7,38
8,9
8,19
8,26
8,27
8,34
9,10
9,11
9,12
9,13
9,16
9,18
9,20
9,22
9,23
9,25
9,26
9,27
9,30
9,31
9,34
10,11
10,21
10,22
10,25
10,27
10,30
10,34
10,35
11,14
11,19
11,20
11,26
11,28
11,30
11,34
11,35
11,37
11,38
13,34
