rand,name,id
233778186637566,David Chang,0
39106648118,José Andrés,1
1536045796649043,Christina Tosi,2
182147948474480,Dean Fearing,3
343576542333112,Roy Choi,4
13166590145,Per Se,5
252166901959,Chef Billy Parisi,6
154163310815,Alex Guarnaschelli,7
134330376691970,Dan Kluger,8
352709974289,Chef Daniel Boulud,9
110313572374851,Chef Kent Graham,10
117098158328132,Scott Conant,11
405828632861413,Amy Thielen,12
395832240617839,Daniel Humm,13
499513386731951,Dining with Flynn,14
195071747289568,Alex Atala,15
470045869701704,Bruno Ménard,16
271192612903509,Saransh Goila,17
840078802741859,Jose Garces,18
128212913875580,Chef Elizabeth Falkner,19
113804875354846,Chef Jet Tila,20
163372808962,Ludo Lefebvre,21
433538630049239,Tom Aikens,22
976838152358677,Dunkin' Donuts,23
117949981557539,Narda Lepes,24
562807423845157,Mei Lin,25
322716741231433,Logan Junior Chef,26
134049266672525,Tom Colicchio,27
784253785021329,Michel Nischan,28
1520712754922388,Chef Ben Churchill,29
127821870601223,Jacques Pépin,30
161900410518565,Enrique Olvera,31
1591862771082076,Camille Becerra,32
479140352140472,Dean Sheremet,33
191755180854356,Eric Ripert,34
199494110086268,Ken Oringer,35
271546371947,Alain Ducasse,36
135134699867346,Johnny Iuzzini,37
335576273200412,Emily Ellyn,38
747373572015472,Noma,39
